type,label,original_text,processed_text
spam,1,আপনার মোবাইল নম্বর দিন এবং আকর্ষণীয় পুরস্কার জিতুন!,আপনার মোবাইল নম্বর দিন এবং আকর্ষণীয় পুরস্কার জিতুন!
spam,1,বিশেষ ছাড়! সীমিত সময়ের জন্য ৮০% পর্যন্ত ডিসকাউন্ট!,বিশেষ ছাড়! সীমিত সময়ের জন্য <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,আপনার বন্ধুদের রেফার করুন এবং প্রতি রেফারেলে ৩০০ টাকা জিতুন!,আপনার বন্ধুদের রেফার করুন এবং প্রতি রেফারেলে <MONEY> জিতুন!
spam,1,আজই সাইন আপ করুন এবং ৩০০০ টাকা বোনাস পান!,আজই সাইন আপ করুন এবং <MONEY> বোনাস পান!
spam,1,বিশেষ অফার! ৭০% পর্যন্ত ছাড়!,বিশেষ অফার! <NUMBER> % পর্যন্ত ছাড়!
spam,1,আপনার মোবাইল রিচার্জ করুন এবং ২০% ক্যাশব্যাক পান!,আপনার মোবাইল রিচার্জ করুন এবং <NUMBER> % ক্যাশব্যাক পান!
spam,1,"নতুন গ্রাহকদের জন্য বিশেষ অফার, এখনই উপভোগ করুন!","নতুন গ্রাহকদের জন্য বিশেষ অফার, এখনই উপভোগ করুন!"
spam,1,মোবাইল অ্যাপ ডাউনলোড করুন এবং ১০০০ টাকা বোনাস পান!,মোবাইল অ্যাপ ডাউনলোড করুন এবং <MONEY> বোনাস পান!
spam,1,প্রতিদিন ৫০০ টাকা জিততে চান? এখনই অংশগ্রহণ করুন!,প্রতিদিন <MONEY> জিততে চান? এখনই অংশগ্রহণ করুন!
spam,1,বিশেষ ছাড়! ৪৮ ঘন্টার মধ্যে অর্ডার করুন এবং ২৫% ডিসকাউন্ট পান!,বিশেষ ছাড়! <NUMBER> ঘন্টার মধ্যে অর্ডার করুন এবং <NUMBER> % ডিসকাউন্ট পান!
spam,1,আপনার ইমেইল যাচাই করুন এবং ৫০০ টাকা বোনাস জিতুন!,আপনার ইমেইল যাচাই করুন এবং <MONEY> বোনাস জিতুন!
spam,1,নতুন গ্যাজেট কিনুন এবং ২০% ক্যাশব্যাক পান!,নতুন গ্যাজেট কিনুন এবং <NUMBER> % ক্যাশব্যাক পান!
spam,1,আপনার মোবাইল রিচার্জ করুন এবং ২৫% ক্যাশব্যাক পান!,আপনার মোবাইল রিচার্জ করুন এবং <NUMBER> % ক্যাশব্যাক পান!
spam,1,বিশেষ ছাড়! সব পণ্যের উপর ৮৫% পর্যন্ত ডিসকাউন্ট!,বিশেষ ছাড়! সব পণ্যের উপর <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,আজই ক্লিক করুন এবং ১০০০০ টাকা জিতুন!,আজই ক্লিক করুন এবং <MONEY> জিতুন!
spam,1,বিশেষ ছাড়! সীমিত সময়ের জন্য ৭০% পর্যন্ত ডিসকাউন্ট!,বিশেষ ছাড়! সীমিত সময়ের জন্য <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,আপনার বন্ধুদের রেফার করুন এবং প্রতি রেফারেলে ৪০০ টাকা জিতুন!,আপনার বন্ধুদের রেফার করুন এবং প্রতি রেফারেলে <MONEY> জিতুন!
spam,1,নতুন অফার! মাত্র ১৯৯ টাকায় পান ১ বছরের সাবস্ক্রিপশন!,নতুন অফার! মাত্র <MONEY> য় পান <NUMBER> বছরের সাবস্ক্রিপশন!
spam,1,আজই সাইন আপ করুন এবং ৪০০০ টাকা বোনাস পান!,আজই সাইন আপ করুন এবং <MONEY> বোনাস পান!
spam,1,বিশেষ অফার! ৬০% পর্যন্ত ছাড়!,বিশেষ অফার! <NUMBER> % পর্যন্ত ছাড়!
spam,1,আপনার মোবাইল রিচার্জ করুন এবং ৩০% ক্যাশব্যাক পান!,আপনার মোবাইল রিচার্জ করুন এবং <NUMBER> % ক্যাশব্যাক পান!
spam,1,মোবাইল অ্যাপ ডাউনলোড করুন এবং ১৫০০ টাকা বোনাস পান!,মোবাইল অ্যাপ ডাউনলোড করুন এবং <MONEY> বোনাস পান!
spam,1,বিশেষ ছাড়! সব পণ্যের উপর ৮০% পর্যন্ত ডিসকাউন্ট!,বিশেষ ছাড়! সব পণ্যের উপর <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,প্রতিদিন ৭০০ টাকা জিততে চান? এখনই অংশগ্রহণ করুন!,প্রতিদিন <MONEY> জিততে চান? এখনই অংশগ্রহণ করুন!
spam,1,আজই অংশগ্রহণ করুন এবং ৫০০০০ টাকা জেতার সুযোগ পান!,আজই অংশগ্রহণ করুন এবং <MONEY> জেতার সুযোগ পান!
spam,1,বিশেষ অফার! সব ইলেকট্রনিক্সের উপর ৫০% ছাড়!,বিশেষ অফার! সব ইলেকট্রনিক্সের উপর <NUMBER> % ছাড়!
spam,1,আপনার বন্ধুদের রেফার করুন এবং প্রতিটি রেফারেলে ৫০০ টাকা জিতুন!,আপনার বন্ধুদের রেফার করুন এবং প্রতিটি রেফারেলে <MONEY> জিতুন!
spam,1,নতুন অফার! মাত্র ৪৯ টাকায় পান ৬ মাসের সাবস্ক্রিপশন!,নতুন অফার! মাত্র <MONEY> য় পান <NUMBER> মাসের সাবস্ক্রিপশন!
spam,1,আজই সাইন আপ করুন এবং ১০০০ টাকা বোনাস পান!,আজই সাইন আপ করুন এবং <MONEY> বোনাস পান!
spam,1,"নির্দিষ্ট সময়ের জন্য বিশেষ ছাড়, মিস করবেন না!","নির্দিষ্ট সময়ের জন্য বিশেষ ছাড়, মিস করবেন না!"
spam,1,আপনার অ্যাকাউন্ট ভেরিফাই করুন এবং ৫০০ টাকা ইনস্ট্যান্ট বোনাস পান!,আপনার অ্যাকাউন্ট ভেরিফাই করুন এবং <MONEY> ইনস্ট্যান্ট বোনাস পান!
spam,1,নতুন অ্যাপ ডাউনলোড করুন এবং বিনামূল্যে গিফট কার্ড জিতুন!,নতুন অ্যাপ ডাউনলোড করুন এবং বিনামূল্যে গিফট কার্ড জিতুন!
spam,1,ফ্রি মুভি টিকেট পেতে এখনই নিবন্ধন করুন!,ফ্রি মুভি টিকেট পেতে এখনই নিবন্ধন করুন!
spam,1,এক্সক্লুসিভ অফার! ১ বছর ফ্রি মেম্বারশিপ পান!,এক্সক্লুসিভ অফার! <NUMBER> বছর ফ্রি মেম্বারশিপ পান!
spam,1,আপনার মোবাইল রিচার্জ করুন এবং ৪০% ক্যাশব্যাক পান!,আপনার মোবাইল রিচার্জ করুন এবং <NUMBER> % ক্যাশব্যাক পান!
spam,1,বিশেষ ছাড়! সব পণ্যের উপর ৭৫% পর্যন্ত ডিসকাউন্ট!,বিশেষ ছাড়! সব পণ্যের উপর <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,আপনার মোবাইল নম্বর দিন এবং ফ্রি ডেটা প্যাক জিতুন!,আপনার মোবাইল নম্বর দিন এবং ফ্রি ডেটা প্যাক জিতুন!
spam,1,আজই ক্লিক করুন এবং ১৫০০০ টাকা জিতুন!,আজই ক্লিক করুন এবং <MONEY> জিতুন!
spam,1,নতুন অফার! মাত্র ৯৯ টাকায় পান ১ বছরের মেম্বারশিপ!,নতুন অফার! মাত্র <MONEY> য় পান <NUMBER> বছরের মেম্বারশিপ!
spam,1,ফ্রি রিচার্জ পেতে এখনই অংশগ্রহণ করুন!,ফ্রি রিচার্জ পেতে এখনই অংশগ্রহণ করুন!
spam,1,আপনার বন্ধুদের রেফার করুন এবং প্রতিটি রেফারেলে ১০০০ টাকা জিতুন!,আপনার বন্ধুদের রেফার করুন এবং প্রতিটি রেফারেলে <MONEY> জিতুন!
spam,1,"নির্দিষ্ট সময়ের জন্য বিশেষ ছাড়, এখনই ক্লিক করুন!","নির্দিষ্ট সময়ের জন্য বিশেষ ছাড়, এখনই ক্লিক করুন!"
spam,1,আপনার অ্যাকাউন্ট ভেরিফাই করুন এবং ইনস্ট্যান্ট ক্যাশব্যাক পান!,আপনার অ্যাকাউন্ট ভেরিফাই করুন এবং ইনস্ট্যান্ট ক্যাশব্যাক পান!
spam,1,নতুন অ্যাপ ডাউনলোড করুন এবং ফ্রি গিফট কার্ড জিতুন!,নতুন অ্যাপ ডাউনলোড করুন এবং ফ্রি গিফট কার্ড জিতুন!
spam,1,আপনার ইমেইল যাচাই করুন এবং ৫০০ টাকা বোনাস পান!,আপনার ইমেইল যাচাই করুন এবং <MONEY> বোনাস পান!
spam,1,মোবাইল অ্যাপ ডাউনলোড করুন এবং ২০০০ টাকা বোনাস পান!,মোবাইল অ্যাপ ডাউনলোড করুন এবং <MONEY> বোনাস পান!
spam,1,নতুন চাকরির সুযোগ! আজই আবেদন করুন!,নতুন চাকরির সুযোগ! আজই আবেদন করুন!
spam,1,আপনি কি চাকরি খুঁজছেন? আমাদের সাথে যুক্ত হন!,আপনি কি চাকরি খুঁজছেন? আমাদের সাথে যুক্ত হন!
spam,1,"মাসে ৫০,০০০ টাকা আয় করতে চান? এখনই আবেদন করুন!",মাসে <MONEY> আয় করতে চান? এখনই আবেদন করুন!
spam,1,ফ্রি প্রশিক্ষণ এবং নিশ্চিত চাকরি! আজই যোগদান করুন!,ফ্রি প্রশিক্ষণ এবং নিশ্চিত চাকরি! আজই যোগদান করুন!
spam,1,আপনার স্বপ্নের চাকরি পেতে আমাদের সাথে যোগাযোগ করুন!,আপনার স্বপ্নের চাকরি পেতে আমাদের সাথে যোগাযোগ করুন!
spam,1,"বিশ্বস্ত প্রতিষ্ঠানে চাকরি, এখনই আবেদন করুন!","বিশ্বস্ত প্রতিষ্ঠানে চাকরি, এখনই আবেদন করুন!"
spam,1,এক্সক্লুসিভ চাকরির অফার! সীমিত সময়ের জন্য!,এক্সক্লুসিভ চাকরির অফার! সীমিত সময়ের জন্য!
spam,1,দ্রুত চাকরি পেতে আমাদের সাইটে নিবন্ধন করুন!,দ্রুত চাকরি পেতে আমাদের সাইটে নিবন্ধন করুন!
spam,1,নতুন চাকরির বিজ্ঞপ্তি! আপনার জন্য অপেক্ষা করছে!,নতুন চাকরির বিজ্ঞপ্তি! আপনার জন্য অপেক্ষা করছে!
spam,1,আপনার যোগ্যতার ভিত্তিতে চাকরি পেতে এখনই যোগাযোগ করুন!,আপনার যোগ্যতার ভিত্তিতে চাকরি পেতে এখনই যোগাযোগ করুন!
spam,1,"সেরা কোম্পানিতে চাকরির সুযোগ, এখনই আবেদন করুন!","সেরা কোম্পানিতে চাকরির সুযোগ, এখনই আবেদন করুন!"
spam,1,আপনার দক্ষতার মূল্যায়ন করুন এবং চাকরি জিতুন!,আপনার দক্ষতার মূল্যায়ন করুন এবং চাকরি জিতুন!
spam,1,"নতুন প্রজেক্টের জন্য প্রফেশনাল খুঁজছি, আপনি কি আগ্রহী?","নতুন প্রজেক্টের জন্য প্রফেশনাল খুঁজছি, আপনি কি আগ্রহী?"
spam,1,ফ্রি রেজিস্ট্রেশন এবং নিশ্চিত চাকরি!,ফ্রি রেজিস্ট্রেশন এবং নিশ্চিত চাকরি!
spam,1,"চাকরির বাজারে নতুন সুযোগ, মিস করবেন না!","চাকরির বাজারে নতুন সুযোগ, মিস করবেন না!"
spam,1,দ্রুত চাকরি পেতে আমাদের প্ল্যাটফর্মে যোগ দিন!,দ্রুত চাকরি পেতে আমাদের প্ল্যাটফর্মে যোগ দিন!
spam,1,"আপনার ক্যারিয়ার গড়ার সুযোগ, আজই আবেদন করুন!","আপনার ক্যারিয়ার গড়ার সুযোগ, আজই আবেদন করুন!"
spam,1,মাসিক উচ্চ বেতনসহ নতুন চাকরি!,মাসিক উচ্চ বেতনসহ নতুন চাকরি!
spam,1,চাকরির ইন্টারভিউতে সফল হওয়ার কৌশল শিখুন!,চাকরির ইন্টারভিউতে সফল হওয়ার কৌশল শিখুন!
spam,1,আপনার সিভি জমা দিন এবং নিশ্চিত চাকরি পান!,আপনার সিভি জমা দিন এবং নিশ্চিত চাকরি পান!
spam,1,"বিশেষ চাকরির অফার, সীমিত সময়ের জন্য!","বিশেষ চাকরির অফার, সীমিত সময়ের জন্য!"
spam,1,চাকরি পেতে আপনার সিভি আপডেট করুন!,চাকরি পেতে আপনার সিভি আপডেট করুন!
spam,1,আপনার পছন্দের কোম্পানিতে চাকরি পেতে আমাদের সাথে যোগ দিন!,আপনার পছন্দের কোম্পানিতে চাকরি পেতে আমাদের সাথে যোগ দিন!
spam,1,"সেরা বেতনে নতুন চাকরি, আজই আবেদন করুন!","সেরা বেতনে নতুন চাকরি, আজই আবেদন করুন!"
spam,1,"নতুন চাকরির জন্য প্রস্তুত হন, আমাদের সাথে যোগাযোগ করুন!","নতুন চাকরির জন্য প্রস্তুত হন, আমাদের সাথে যোগাযোগ করুন!"
spam,1,আপনার সিভি জমা দিন এবং নতুন চাকরির সুযোগ পান!,আপনার সিভি জমা দিন এবং নতুন চাকরির সুযোগ পান!
spam,1,ফ্রি প্রশিক্ষণ এবং ইন্টারভিউ প্রস্তুতি!,ফ্রি প্রশিক্ষণ এবং ইন্টারভিউ প্রস্তুতি!
spam,1,উচ্চ বেতন এবং সুযোগ সুবিধা সহ নতুন চাকরি!,উচ্চ বেতন এবং সুযোগ সুবিধা সহ নতুন চাকরি!
spam,1,চাকরি খুঁজছেন? আমাদের সাইটে নিবন্ধন করুন!,চাকরি খুঁজছেন? আমাদের সাইটে নিবন্ধন করুন!
spam,1,আপনার দক্ষতা মূল্যায়ন করুন এবং চাকরি জিতুন!,আপনার দক্ষতা মূল্যায়ন করুন এবং চাকরি জিতুন!
spam,1,"বিশ্বস্ত কোম্পানিতে চাকরির সুযোগ, এখনই আবেদন করুন!","বিশ্বস্ত কোম্পানিতে চাকরির সুযোগ, এখনই আবেদন করুন!"
spam,1,"সেরা কোম্পানিতে চাকরি, আজই আবেদন করুন!","সেরা কোম্পানিতে চাকরি, আজই আবেদন করুন!"
spam,1,"নতুন চাকরির সুযোগ, মিস করবেন না!","নতুন চাকরির সুযোগ, মিস করবেন না!"
spam,1,আজই সুপারশপে আসুন এবং পান ৫০% পর্যন্ত ছাড়!,আজই সুপারশপে আসুন এবং পান <NUMBER> % পর্যন্ত ছাড়!
spam,1,সীমিত সময়ের জন্য! সকল পণ্যে ৩০% ডিসকাউন্ট!,সীমিত সময়ের জন্য! সকল পণ্যে <NUMBER> % ডিসকাউন্ট!
spam,1,"শুধু আজকের জন্য, ১০০০ টাকার কেনাকাটায় ২০০ টাকা ক্যাশব্যাক!","শুধু আজকের জন্য, <MONEY> র কেনাকাটায় <MONEY> ক্যাশব্যাক!"
spam,1,নতুন অফার! সাপ্তাহিক বাজারে বিশেষ ছাড়!,নতুন অফার! সাপ্তাহিক বাজারে বিশেষ ছাড়!
spam,1,বিশেষ ছাড়! ৫০০ টাকার কেনাকাটায় ১০০ টাকা ডিসকাউন্ট!,বিশেষ ছাড়! <MONEY> র কেনাকাটায় <MONEY> ডিসকাউন্ট!
spam,1,সুপারশপে আসুন এবং প্রতিদিন ১০০ টাকার কেনাকাটায় জিতুন আকর্ষণীয় পুরস্কার!,সুপারশপে আসুন এবং প্রতিদিন <MONEY> র কেনাকাটায় জিতুন আকর্ষণীয় পুরস্কার!
spam,1,আজকের স্পেশাল অফার! সবজিতে ২০% ছাড়!,আজকের স্পেশাল অফার! সবজিতে <NUMBER> % ছাড়!
spam,1,বিশেষ অফার! গৃহস্থালি পণ্যে ৪০% পর্যন্ত ডিসকাউন্ট!,বিশেষ অফার! গৃহস্থালি পণ্যে <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,সীমিত সময়ের জন্য! শিশুখাদ্যে ২৫% ছাড়!,সীমিত সময়ের জন্য! শিশুখাদ্যে <NUMBER> % ছাড়!
spam,1,ফ্রি হোম ডেলিভারি পেতে ৫০০ টাকার বেশি কেনাকাটা করুন!,ফ্রি হোম ডেলিভারি পেতে <MONEY> র বেশি কেনাকাটা করুন!
spam,1,প্রতিদিন ৫০০ টাকার কেনাকাটায় ৫০ টাকা ক্যাশব্যাক!,প্রতিদিন <MONEY> র কেনাকাটায় <MONEY> ক্যাশব্যাক!
spam,1,আজকের স্পেশাল অফার! ফ্রোজেন ফুডে ১৫% ডিসকাউন্ট!,আজকের স্পেশাল অফার! ফ্রোজেন ফুডে <NUMBER> % ডিসকাউন্ট!
spam,1,সাপ্তাহিক সুপার সেল! সব পণ্যে ১০% ছাড়!,সাপ্তাহিক সুপার সেল! সব পণ্যে <NUMBER> % ছাড়!
spam,1,নতুন অফার! সব প্রোটিন পণ্যে ২০% ডিসকাউন্ট!,নতুন অফার! সব প্রোটিন পণ্যে <NUMBER> % ডিসকাউন্ট!
spam,1,সীমিত সময়ের জন্য! বাচ্চাদের খেলনায় ৩০% ছাড়!,সীমিত সময়ের জন্য! বাচ্চাদের খেলনায় <NUMBER> % ছাড়!
spam,1,প্রতিদিন ৭০০ টাকার কেনাকাটায় ফ্রি গিফট!,প্রতিদিন <MONEY> র কেনাকাটায় ফ্রি গিফট!
spam,1,আজই আসুন এবং পান ড্রাই ফ্রুটসে ১০% ছাড়!,আজই আসুন এবং পান ড্রাই ফ্রুটসে <NUMBER> % ছাড়!
spam,1,বিশেষ অফার! কিচেন অ্যাপ্লায়েন্সে ২৫% পর্যন্ত ডিসকাউন্ট!,বিশেষ অফার! কিচেন অ্যাপ্লায়েন্সে <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,ফ্রি মেম্বারশিপ পেতে ১০০০ টাকার বেশি কেনাকাটা করুন!,ফ্রি মেম্বারশিপ পেতে <MONEY> র বেশি কেনাকাটা করুন!
spam,1,সীমিত সময়ের জন্য! ডেইরি প্রোডাক্টে ২০% ছাড়!,সীমিত সময়ের জন্য! ডেইরি প্রোডাক্টে <NUMBER> % ছাড়!
spam,1,বিশেষ অফার! ১০০০ টাকার কেনাকাটায় ফ্রি কুপন!,বিশেষ অফার! <MONEY> র কেনাকাটায় ফ্রি কুপন!
spam,1,প্রতিদিন ৫০০ টাকার কেনাকাটায় ১০০ টাকা ক্যাশব্যাক!,প্রতিদিন <MONEY> র কেনাকাটায় <MONEY> ক্যাশব্যাক!
spam,1,আজকের স্পেশাল অফার! ফলমূলে ৩০% ছাড়!,আজকের স্পেশাল অফার! ফলমূলে <NUMBER> % ছাড়!
spam,1,বিশেষ ছাড়! ২০০০ টাকার কেনাকাটায় ৫০০ টাকা ডিসকাউন্ট!,বিশেষ ছাড়! <MONEY> র কেনাকাটায় <MONEY> ডিসকাউন্ট!
spam,1,সীমিত সময়ের জন্য! পানীয় পণ্যে ১৫% ছাড়!,সীমিত সময়ের জন্য! পানীয় পণ্যে <NUMBER> % ছাড়!
spam,1,প্রতিদিন ১০০০ টাকার কেনাকাটায় ফ্রি ডেলিভারি!,প্রতিদিন <MONEY> র কেনাকাটায় ফ্রি ডেলিভারি!
spam,1,নতুন অফার! সকল কুকিং অয়েলে ২০% ডিসকাউন্ট!,নতুন অফার! সকল কুকিং অয়েলে <NUMBER> % ডিসকাউন্ট!
spam,1,বিশেষ অফার! গৃহস্থালি পণ্যে ৩০% পর্যন্ত ছাড়!,বিশেষ অফার! গৃহস্থালি পণ্যে <NUMBER> % পর্যন্ত ছাড়!
spam,1,সাপ্তাহিক বাজারে আসুন এবং পান ১০% ডিসকাউন্ট!,সাপ্তাহিক বাজারে আসুন এবং পান <NUMBER> % ডিসকাউন্ট!
spam,1,আজকের স্পেশাল অফার! মাংসে ২৫% ছাড়!,আজকের স্পেশাল অফার! মাংসে <NUMBER> % ছাড়!
spam,1,প্রতিদিন ৮০০ টাকার কেনাকাটায় ফ্রি গিফট!,প্রতিদিন <MONEY> র কেনাকাটায় ফ্রি গিফট!
spam,1,নতুন অফার! বাচ্চাদের খাদ্যে ২০% ছাড়!,নতুন অফার! বাচ্চাদের খাদ্যে <NUMBER> % ছাড়!
spam,1,সীমিত সময়ের জন্য! সকল ফুড আইটেমে ১৫% ছাড়!,সীমিত সময়ের জন্য! সকল ফুড আইটেমে <NUMBER> % ছাড়!
spam,1,প্রতিদিন ১০০০ টাকার কেনাকাটায় ২০০ টাকা ক্যাশব্যাক!,প্রতিদিন <MONEY> র কেনাকাটায় <MONEY> ক্যাশব্যাক!
spam,1,আজকের স্পেশাল অফার! পানীয় পণ্যে ১০% ডিসকাউন্ট!,আজকের স্পেশাল অফার! পানীয় পণ্যে <NUMBER> % ডিসকাউন্ট!
spam,1,বিশেষ অফার! সব হাউসহোল্ড পণ্যে ২০% ছাড়!,বিশেষ অফার! সব হাউসহোল্ড পণ্যে <NUMBER> % ছাড়!
spam,1,সীমিত সময়ের জন্য! ফ্রোজেন ফুডে ৩০% পর্যন্ত ডিসকাউন্ট!,সীমিত সময়ের জন্য! ফ্রোজেন ফুডে <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,প্রতিদিন ৭০০ টাকার কেনাকাটায় ফ্রি ডেলিভারি!,প্রতিদিন <MONEY> র কেনাকাটায় ফ্রি ডেলিভারি!
spam,1,নতুন অফার! সব সবজিতে ১৫% ছাড়!,নতুন অফার! সব সবজিতে <NUMBER> % ছাড়!
spam,1,বিশেষ ছাড়! ১০০০ টাকার কেনাকাটায় ৫০০ টাকা ডিসকাউন্ট!,বিশেষ ছাড়! <MONEY> র কেনাকাটায় <MONEY> ডিসকাউন্ট!
spam,1,সাপ্তাহিক সুপার সেল! সব পণ্যে ২০% ছাড়!,সাপ্তাহিক সুপার সেল! সব পণ্যে <NUMBER> % ছাড়!
spam,1,আজকের স্পেশাল অফার! ফলমূলে ১০% ডিসকাউন্ট!,আজকের স্পেশাল অফার! ফলমূলে <NUMBER> % ডিসকাউন্ট!
spam,1,নতুন অফার! সকল ডেইরি প্রোডাক্টে ২০% ছাড়!,নতুন অফার! সকল ডেইরি প্রোডাক্টে <NUMBER> % ছাড়!
spam,1,বিশেষ অফার! গৃহস্থালি পণ্যে ২৫% পর্যন্ত ডিসকাউন্ট!,বিশেষ অফার! গৃহস্থালি পণ্যে <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,প্রতিদিন ১০০০ টাকার কেনাকাটায় ফ্রি গিফট!,প্রতিদিন <MONEY> র কেনাকাটায় ফ্রি গিফট!
spam,1,নতুন অফার! সব প্রোটিন পণ্যে ১৫% ডিসকাউন্ট!,নতুন অফার! সব প্রোটিন পণ্যে <NUMBER> % ডিসকাউন্ট!
spam,1,বিশেষ ছাড়! ৭০০ টাকার কেনাকাটায় ১০০ টাকা ডিসকাউন্ট!,বিশেষ ছাড়! <MONEY> র কেনাকাটায় <MONEY> ডিসকাউন্ট!
spam,1,সাপ্তাহিক সুপার সেল! সব পণ্যে ৩০% ছাড়!,সাপ্তাহিক সুপার সেল! সব পণ্যে <NUMBER> % ছাড়!
spam,1,আজকের স্পেশাল অফার! মাংসে ২০% ডিসকাউন্ট!,আজকের স্পেশাল অফার! মাংসে <NUMBER> % ডিসকাউন্ট!
spam,1,প্রতিদিন ৮০০ টাকার কেনাকাটায় ফ্রি ডেলিভারি!,প্রতিদিন <MONEY> র কেনাকাটায় ফ্রি ডেলিভারি!
spam,1,নতুন অফার! সকল কুকিং অয়েলে ২০% ছাড়!,নতুন অফার! সকল কুকিং অয়েলে <NUMBER> % ছাড়!
spam,1,বিশেষ অফার! পানীয় পণ্যে ১৫% পর্যন্ত ডিসকাউন্ট!,বিশেষ অফার! পানীয় পণ্যে <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,সীমিত সময়ের জন্য! সকল ফুড আইটেমে ১০% ছাড়!,সীমিত সময়ের জন্য! সকল ফুড আইটেমে <NUMBER> % ছাড়!
spam,1,আজকের স্পেশাল অফার! ফলমূলে ২৫% ছাড়!,আজকের স্পেশাল অফার! ফলমূলে <NUMBER> % ছাড়!
spam,1,বিশেষ ছাড়! ৫০০ টাকার কেনাকাটায় ৫০ টাকা ডিসকাউন্ট!,বিশেষ ছাড়! <MONEY> র কেনাকাটায় <MONEY> ডিসকাউন্ট!
spam,1,সাপ্তাহিক বাজারে আসুন এবং পান ২০% ডিসকাউন্ট!,সাপ্তাহিক বাজারে আসুন এবং পান <NUMBER> % ডিসকাউন্ট!
spam,1,বিশেষ অফার! ডেইরি প্রোডাক্টে ২৫% পর্যন্ত ডিসকাউন্ট!,বিশেষ অফার! ডেইরি প্রোডাক্টে <NUMBER> % পর্যন্ত ডিসকাউন্ট!
spam,1,সীমিত সময়ের জন্য! ফ্রোজেন ফুডে ২০% ছাড়!,সীমিত সময়ের জন্য! ফ্রোজেন ফুডে <NUMBER> % ছাড়!
spam,1,নতুন অফার! সকল কুকিং অয়েলে ১০% ছাড়!,নতুন অফার! সকল কুকিং অয়েলে <NUMBER> % ছাড়!
spam,1,সাপ্তাহিক সুপার সেল! সব পণ্যে ১৫% ছাড়!,সাপ্তাহিক সুপার সেল! সব পণ্যে <NUMBER> % ছাড়!
spam,1,বিশেষ অফার! গৃহস্থালি পণ্যে ২০% পর্যন্ত ছাড়!,বিশেষ অফার! গৃহস্থালি পণ্যে <NUMBER> % পর্যন্ত ছাড়!
spam,1,আজকের স্পেশাল অফার! মাংসে ২৫% ডিসকাউন্ট!,আজকের স্পেশাল অফার! মাংসে <NUMBER> % ডিসকাউন্ট!
spam,1,নতুন অফার! সকল ডেইরি প্রোডাক্টে ১৫% ছাড়!,নতুন অফার! সকল ডেইরি প্রোডাক্টে <NUMBER> % ছাড়!
